BARRAS;PRODUCTO;COSTO
7790520985019;GLADE TOQUE REP TWIN PACK LAVANDA;11.429
7790520985163;GLADE TOQUE FULL COCINA (T&F CITRIC);9.266
7790520985170;GLADE TOQUE REP COCINA (T&F CITRIC);5.918
7790520985194;GLADE CANASTA 2 EN 1 REPUESTO x 35G;6.974
7790520985323;ZIPLOC C/CIERRE DENT. PEQ. 18X20CM X8U;5.974
7790520985323;ZIPLOC CIERRE DESLIZ GRANDES X 4 U;5.974
7790520985330;ZIPLOC CIERRE DESLIZ PEQ X 6 U;5.974
7790520985347;BAYGON JERINGA x 6G;18.307
7790520985485;GLADE ULTRA CAMPOS DE LAVANDA;8.333
7790520985515;GLADE ULTRA SPA x 120;8.333
7790520985675;MR MUSCULO OXY POWER POLVO x 250G.;14.331
7790520985743;GLADE  x 360 AERO LAVANDA;5.156
7790520985750;GLADE  x 360 AERO CAM DE JAZMIN;5.894
7790520985781;GLADE x 360 AERO I LOVE YOU ;5.894
7790520985798;GLADE x 360 AERO CA DE ALGODON;5.156
7790520985804;GLADE x 360 AERO CARICIAS DE BEBE ;5.156
7790520985811;GLADE  x 360 AERO ANTITABACO;5.894
7790520985910;MM PRELAVADO OXYPOWER GATILLO x 500;12.227
7790520985934;MM PRELAVADO OXYPOWER DP x 500;6.415
7790520985941;LYSOFORM x 327 AERO CITRICO;10.260
7790520986030;MM ANTIG NARANJA GATILLO x 500;10.041
7790520986139;GLADE TOQUE REP. SPA;5.918
7790520986146;GLADE TOQUE REP. I LOVE YOU;5.918
7790520986153;RAID CASA Y JARDIN AERO x 360;12.613
7790520986160;RAID MAX JERINGA GEL x 3G;14.259
7790520986382;ECHO  x 500  D PACK;3.099
7790520986405;BLEM  x 450 D PACK INCOLORO;8.743
7790520986429;BLEM  x 450 D PACK ROJO;8.743
7790520986443;CERAMICOL  x 500 D PACK ;5.508
7790520986467;BLEM  x 500 D PACK REVOLUTION;12.500
7790520986481;LYSOFORM  x 450 D PACK ORIGINAL;4.451
7790520986504;LYSOFORM .x 450 D PACK BEBE;4.451
7790520986542;LYSOFORM  x 450 D PACK CITRICA;4.451
7790520986603;ECHO  x 1L TRADICIONAL;10.418
7790520986610;ECHO  x 1L LAVANDA;10.418
7790520986627;ECHO LISTO  x 1L LAVANDA;7.966
7790520986634;ECHO LISTO  x 1L FLORAL;7.966
7790520986641;ECHO LISTO  x 1L NARANJA;7.966
7790520986658;BLEM  x 1L INCOLORO;17.452
7790520986665;BLEM  x 1L ROJO;17.452
7790520986672;BLEM  x 1L NEGRO;17.452
7790520986689;BLEM  x 1L  ACRILICO;25.490
7790520986702;BLEM  x 1L REVOLUTION;22.001
7790520986726;CERAMICOL  x 1L INCOLORO;9.819
7790520986733;CERAMICOL  x 1L ROJO;9.819
7790520986740;CERAMICOL  x 1L NEGRO;9.819
7790520986757;BLEM PISOS PLASTIFICADOS x 1L;12.707
7790520986764;GLADE  x 360 AERO SPA;5.156
7790520986771;RAID SIST EXTERM. CEBO EST x 6;12.256
7790520986788;LYSOFORM x 360 AERO CLASICO;10.260
7790520986795;LYSOFORM x 360 AERO AIRE DE MONTANA;10.260
7790520986801;LYSOFORM x 360 AERO BEBE;10.260
7790520986818;MM PRELAVADO GEL ACTIVO GATILLO ;14.301
7790520986825;MM DESTRUCTOR DE SUCIED GATILLO*500;17.393
7790520986832;MM PRELAVADO GEL ACTIVO DP x 400 ML;7.069
7790520986856;GLADE AUTO REP ACQUA;19.898
7790520987020;LYSOFORM BA•O ACC TOTAL GAT X 500;15.104
7790520987037;LYSOFORM BA•O ACC TOTAL D.PACK x 500;6.389
7790520987044;LYSOFORM COCINA ANTIG. GAT X 500;11.669
7790520987051;LYSOFORM COCINA ANTIG. D.P. X 500;5.334
7790520987105;GLADE CANASTA P/ INOD FULL 4 FRAG;4.303
7790520987112;GLADE CANASTA P/ INOD REP 4 FRAG;3.545
7790520987136;GLADE AUTO REP I LOVE YOU;19.898
7790520987167;GLADE AUTO FULL NEUTRALIZDOR;22.208
7790520987297;BLEM  x 400 AERO LAVANDA;10.500
7790520987358;MM ANTIG NARANJA D PACK x 900;6.710
7790520987365;MR MUSCULO OXY POWER POLVO x 400G;21.470
7790520987389;GLADE x 360 AERO B DE LAS CUMBRES ;5.894
7790520987426;GLADE TOQUE REP. BRISA  DE LAS CUMBRES;5.918
7790520987433;LYSOFORM  x 900 ORIGINAL BOTELLA;8.411
