 BARRAS;PRODUCTO;COSTO
7790520018021;BLEM CERA  P/MAD.  x 900 UNIVERSAL;32.034
7790520018038;BLEM CERA  P/MAD.  x 900 R CLARO;32.034
7790520018045;BLEM CERA  P/MAD.  x 900 R OSCURO;32.034
7790520030047;RAID MATAPULGAS AERO x 400;48.426
7790520145208;RAID TAB AP MAZDA S/CABLE;19.244
7790520146205;FUYI  APAR C/ CABLE ;48.295
7790520150509;MM GEL LIMPIADOR C/ LAVAND.x 500;14.954
7790520155047;MM MULTIUSO D PACK x 500;6.551
7790520155246;MM ANTIG  COCINA D PACK x 500 ;3.809
7790520155450;RAID TAB LARGA DUR  X 24;16.400
7790520155702;RAID TAB LARGA DUR  X 12;8.272
7790520161055;OFF AEROSOL x 165;23.280
7790520161918;FUYI TABLETAS 10 x 120;87.532
7790520200303;KLARO  AEROSOL x 400;16.454
7790520200716;KLARO  GATILLO x 500;24.627
7790520200723;KLARO  REPUESTO x 500;11.550
7790520221001;ECHO  x 2L TRADICIONAL;43.148
7790520222701;ECHO  x 5L TRADICIONAL;72.042
7790520270733;GLO COT CERA P/MADERA NATURAL;23.282
7790520508485;RAID MMM x 400CM3;17.076
7790520508607;RAID MMM SIN OLOR;20.225
7790520550507;MM MULTIUSO REPUESTO x 500;10.404
7790520552006;MM ANTIG. COCINA GATILLO x 500;11.561
7790520552501;MM ANTIG. COCINA  REPUESTO x 500;8.452
7790520552808;MM CANASTA LIQ. AP. MARINA x 55CC;19.369
7790520552815;MM CANASTA LIQ. REP. MARINA x 55CC;16.557
7790520552839;MM CANASTA LIQ. REP. PINO x 55CC;16.557
7790520552877;GLADE CAN.LIQ. FULL LAVANDA ;20.657
7790520552891;GLADE CAN.LIQ. REP. LAVANDA;17.712
7790520802170;ZIPLOC C/CIERRE DENT GDE 27x28x5U;9.206
7790520803405;ZIPLOC FILM REPUESTO x 10 MTS.;11.982
7790520972200;GLADE TOQUE FULL LAVANDA;16.543
7790520972255;GLADE TOQUE REP. LAVANDA;10.809
7790520981882;LYSOFORM CAN LIQ P/ INOD RPTO.;16.731
7790520981936;BLEM  x 400 AERO MARRON;21.353
7790520981967;MM LIMPIAHORNOS AERO x 400ML;18.925
7790520981974;BRISHINE x  400 AEROSOL;12.701
7790520982001;BLEM  x 2L INCOLORO;0.000
7790520982056;BLEM  x 5L BIDON INCOLORO;103.881
7790520982100;RAID MAX AEROSOL x 400;24.052
7790520982261;GLADE TOQUE REP. BEBE;10.809
7790520982278;KLARO REPUESTO DOY PACK x 500;5.344
7790520984357;BLEM  x 400 AERO NARANJA;21.353
7790520984371;MM ANTIG NARANJA REPUESTO x 500;9.717
7790520984401;ZIPLOC S/CIERRE E-GDE. 35X57CM X10U;9.206
7790520984418;ZIPLOC S/CIERRE GDE. 25X35CM X20U;9.206
7790520984524;MM ANTIG NARANJA D PACK x 500;6.999
7790520984579;BAYGON CEBOS CUCARA x 4;12.046
7790520984616;MM ANTIG. COCINA D PACK x 900;8.646
7790520984623;MM MULTIUSO D PACK x 900;12.884
7790520984630;KLARO REPUESTO DOY PACK x 900;10.774
7790520985019;GLADE TOQUE REP TWIN PACK LAVANDA;20.408
7790520985163;GLADE TOQUE FULL COCINA (T&F CITRIC);16.543
7790520985170;GLADE TOQUE REP COCINA (T&F CITRIC);10.809
7790520985194;GLADE CANASTA 2 EN 1 REPUESTO x 35G;10.553
7790520985323;ZIPLOC C/CIERRE DENT. PEQ. 18X20CM X8U;9.206
7790520985323;ZIPLOC CIERRE DESLIZ GRANDES X 4 U;9.206
7790520985330;ZIPLOC CIERRE DESLIZ PEQ X 6 U;9.206
7790520985347;BAYGON JERINGA x 6G;29.548
7790520985485;GLADE ULTRA CAMPOS DE LAVANDA;12.275
7790520985515;GLADE ULTRA SPA x 120;12.275
7790520985675;MR MUSCULO OXY POWER POLVO x 250G.;21.683
7790520985743;GLADE  x 360 AERO LAVANDA;9.168
7790520985750;GLADE  x 360 AERO CAM DE JAZMIN;9.168
