 BARRAS;PRODUCTO;COSTO;
7790520550507;MM MULTIUSO REPUESTO x 500;10.300;
7790520552006;MM ANTIG. COCINA GATILLO x 500;11.446;
7790520552501;MM ANTIG. COCINA  REPUESTO x 500;8.367;
7790520552808;MM CANASTA LIQ. AP. MARINA x 55CC;19.176;
7790520552815;MM CANASTA LIQ. REP. MARINA x 55CC;16.392;
7790520552839;MM CANASTA LIQ. REP. PINO x 55CC;16.392;
7790520552877;GLADE CAN.LIQ. FULL LAVANDA ;20.451;
7790520552891;GLADE CAN.LIQ. REP. LAVANDA;17.535;
7790520802170;ZIPLOC C/CIERRE DENT GDE 27x28x5U;9.114;
7790520803405;ZIPLOC FILM REPUESTO x 10 MTS.;11.862;
7790520972200;GLADE TOQUE FULL LAVANDA;16.377;
7790520972255;GLADE TOQUE REP. LAVANDA;10.701;
7790520981882;LYSOFORM CAN LIQ P/ INOD RPTO.;16.564;
7790520981936;BLEM  x 400 AERO MARRON;21.140;
7790520981967;MM LIMPIAHORNOS AERO x 400ML;18.736;
7790520981974;BRISHINE x  400 AEROSOL;12.574;
7790520982001;BLEM  x 2L INCOLORO;0.000;
7790520982056;BLEM  x 5L BIDON INCOLORO;102.842;
7790520982100;RAID MAX AEROSOL x 400;23.812;
7790520982261;GLADE TOQUE REP. BEBE;10.701;
7790520982278;KLARO REPUESTO DOY PACK x 500;5.291;
7790520984357;BLEM  x 400 AERO NARANJA;21.140;
7790520984371;MM ANTIG NARANJA REPUESTO x 500;9.620;
7790520984401;ZIPLOC S/CIERRE E-GDE. 35X57CM X10U;9.114;
7790520984418;ZIPLOC S/CIERRE GDE. 25X35CM X20U;9.114;
7790520984524;MM ANTIG NARANJA D PACK x 500;6.929;
7790520984579;BAYGON CEBOS CUCARA x 4;11.926;
7790520984616;MM ANTIG. COCINA D PACK x 900;8.559;
7790520984623;MM MULTIUSO D PACK x 900;12.755;
7790520984630;KLARO REPUESTO DOY PACK x 900;10.667;
7790520985019;GLADE TOQUE REP TWIN PACK LAVANDA;20.204;
7790520985163;GLADE TOQUE FULL COCINA (T&F CITRIC);16.377;
7790520985170;GLADE TOQUE REP COCINA (T&F CITRIC);10.701;
7790520985194;GLADE CANASTA 2 EN 1 REPUESTO x 35G;10.448;
