 BARRAS;PRODUCTO;COSTO
7790520552808;MM CANASTA LIQ. AP. MARINA x 55CC;16.761
7790520552815;MM CANASTA LIQ. REP. MARINA x 55CC;14.328
7790520552839;MM CANASTA LIQ. REP. PINO x 55CC;14.328
7790520552877;GLADE CAN.LIQ. FULL LAVANDA ;17.876
7790520552891;GLADE CAN.LIQ. REP. LAVANDA;15.327
7790520802170;ZIPLOC C/CIERRE DENT GDE 27x28x5U;7.822
7790520803405;ZIPLOC FILM REPUESTO x 10 MTS.;10.180
7790520972200;GLADE TOQUE FULL LAVANDA;14.315
7790520972255;GLADE TOQUE REP. LAVANDA;9.354
7790520981882;LYSOFORM CAN LIQ P/ INOD RPTO.;14.478
7790520981936;BLEM  x 400 AERO MARRON;18.478
7790520981967;MM LIMPIAHORNOS AERO x 400ML;16.377
7790520981974;BRISHINE x  400 AEROSOL;10.599
7790520982001;BLEM  x 2L INCOLORO;54.333
7790520982056;BLEM  x 5L BIDON INCOLORO;89.894
7790520982100;RAID MAX AEROSOL x 400;20.813
7790520982261;GLADE TOQUE REP. BEBE;9.354
7790520982278;KLARO REPUESTO DOY PACK x 500;4.582
7790520984357;BLEM  x 400 AERO NARANJA;18.478
7790520984371;MM ANTIG NARANJA REPUESTO x 500;8.409
7790520984401;ZIPLOC S/CIERRE E-GDE. 35X57CM X10U;7.822
7790520984418;ZIPLOC S/CIERRE GDE. 25X35CM X20U;7.822
7790520984524;MM ANTIG NARANJA D PACK x 500;6.056
7790520984579;BAYGON CEBOS CUCARA x 4;10.052
7790520984616;MM ANTIG. COCINA D PACK x 900;7.482
7790520984623;MM MULTIUSO D PACK x 900;11.150
7790520984630;KLARO REPUESTO DOY PACK x 900;9.238
7790520985019;GLADE TOQUE REP TWIN PACK LAVANDA;17.660
7790520985163;GLADE TOQUE FULL COCINA (T&F CITRIC);14.315
7790520985170;GLADE TOQUE REP COCINA (T&F CITRIC);9.354
7790520985194;GLADE CANASTA 2 EN 1 REPUESTO x 35G;9.132
7790520985323;ZIPLOC C/CIERRE DENT. PEQ. 18X20CM X8U;7.822
7790520985323;ZIPLOC CIERRE DESLIZ GRANDES X 4 U;7.822
7790520985330;ZIPLOC CIERRE DESLIZ PEQ X 6 U;7.822
7790520985347;BAYGON JERINGA x 6G;24.656
7790520985485;GLADE ULTRA CAMPOS DE LAVANDA;10.622
7790520985515;GLADE ULTRA SPA x 120;10.622
7790520985675;MR MUSCULO OXY POWER POLVO x 250G.;18.763
7790520985743;GLADE  x 360 AERO LAVANDA;7.933
7790520985750;GLADE  x 360 AERO CAM DE JAZMIN;7.933
7790520985781;GLADE x 360 AERO I LOVE YOU ;7.933
7790520985798;GLADE x 360 AERO CA DE ALGODON;7.933
7790520985804;GLADE x 360 AERO CARICIAS DE BEBE ;7.933
7790520985811;GLADE  x 360 AERO ANTITABACO;7.933
7790520985910;MM PRELAVADO OXYPOWER GATILLO x 500;15.717
7790520985934;MM PRELAVADO OXYPOWER DP x 500;8.247
7790520985941;LYSOFORM x 327 AERO CITRICO;14.388
7790520986030;MM ANTIG NARANJA GATILLO x 500;13.357
7790520986139;GLADE TOQUE REP. SPA;9.354
7790520986146;GLADE TOQUE REP. I LOVE YOU;9.354
7790520986153;RAID CASA Y JARDIN AERO x 360;17.158
7790520986160;RAID MAX JERINGA GEL x 3G;19.202
7790520986382;ECHO  x 500  D PACK;7.719
7790520986405;BLEM  x 450 D PACK INCOLORO;13.257
7790520986429;BLEM  x 450 D PACK ROJO;13.257
7790520986443;CERAMICOL  x 500 D PACK ;7.021
7790520986467;BLEM  x 500 D PACK REVOLUTION;16.369
7790520986481;LYSOFORM  x 450 D PACK ORIGINAL;6.936
7790520986504;LYSOFORM .x 450 D PACK BEBE;6.936
7790520986542;LYSOFORM  x 450 D PACK CITRICA;6.936
7790520986603;ECHO  x 1L TRADICIONAL;18.523
7790520986610;ECHO  x 1L LAVANDA;18.523
7790520986627;ECHO LISTO  x 1L LAVANDA;13.892
7790520986634;ECHO LISTO  x 1L FLORAL;13.892
7790520986641;ECHO LISTO  x 1L NARANJA;13.892
7790520986658;BLEM  x 1L INCOLORO;26.462
7790520986665;BLEM  x 1L ROJO;26.462
7790520986672;BLEM  x 1L NEGRO;26.462
7790520986689;BLEM  x 1L  ACRILICO;33.096
7790520986702;BLEM  x 1L REVOLUTION;28.566
7790520986726;CERAMICOL  x 1L INCOLORO;12.514
7790520986733;CERAMICOL  x 1L ROJO;12.514
7790520986740;CERAMICOL  x 1L NEGRO;12.514
7790520986757;BLEM PISOS PLASTIFICADOS x 1L;19.431
7790520986764;GLADE  x 360 AERO SPA;7.933
7790520986771;RAID SIST EXTERM. CEBO EST x 6;16.505
7790520986788;LYSOFORM x 360 AERO CLASICO;14.388
7790520986795;LYSOFORM x 360 AERO AIRE DE MONTANA;14.388
7790520986801;LYSOFORM x 360 AERO BEBE;14.388
7790520986818;MM PRELAVADO GEL ACTIVO GATILLO ;18.381
7790520986825;MM DESTRUCTOR DE SUCIED GATILLO*500;22.355
7790520986832;MM PRELAVADO GEL ACTIVO DP x 400 ML;9.086
7790520986856;GLADE AUTO REP ACQUA;26.053
7790520987020;LYSOFORM BA•O ACC TOTAL GAT X 500;19.413
7790520987037;LYSOFORM BA•O ACC TOTAL D.PACK x 500;8.143
7790520987044;LYSOFORM COCINA ANTIG. GAT X 500;17.249
7790520987051;LYSOFORM COCINA ANTIG. D.P. X 500;8.570
7790520987105;GLADE CANASTA P/ INOD FULL 4 FRAG;5.531
7790520987112;GLADE CANASTA P/ INOD REP 4 FRAG;4.558
7790520987136;GLADE AUTO REP I LOVE YOU;26.053
7790520987167;GLADE AUTO FULL NEUTRALIZDOR;29.081
7790520987297;BLEM  x 400 AERO LAVANDA;18.478
7790520987358;MM ANTIG NARANJA D PACK x 900;10.995
7790520987365;MR MUSCULO OXY POWER POLVO x 400G;28.112
7790520987389;GLADE x 360 AERO B DE LAS CUMBRES ;7.933
7790520987426;GLADE TOQUE REP. BRISA  DE LAS CUMBRES;9.354
7790520987433;LYSOFORM  x 900 ORIGINAL BOTELLA;10.810
7790520987440;LYSOFORM  x 800 D PACK ORIGINAL;9.577
7790520987457;LYSOFORM .x 450 D PACK LAVANDA;6.936
7790520987464;LYSOFORM  x 450 D PACK  A MONTA•A;6.936
7790520987488;M MUS BLOQUE MOCHILA AZUL x 45G;10.703
7790520987600;GLADE PASTILLA INODOROS LAVANDA;4.436
7790520987617;GLADE SENSATIONS REP ALGOD‡N;18.118
7790520987891;M MUS ADHESIVO 30 gr LAVANDA;5.922
7790520988003;GLADE TOQUE FULL MA•ANA DE CAMPO;14.315
7790520988010;GLADE TOQUE REP. MA•ANA DE CAMPO;9.354
7790520988218;GLADE CAN.LIQ. FULL MA•ANA DE CAMPO;17.876
7790520988225;GLADE CAN.LIQ. REP. MA•ANA DE CAMPO;15.327
