BARRAS;PRODUCTO;COSTO;PRECIO
7791337340015;Gran Compra Ent Beb Sachet 1000 Gr;6.101;8.9
7791337340022;Gran Compra Ent Beb Sachet 1000 Gr;6.101;8.9
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
7791337997998;Bolsa Ser Colchon de frutas x 3;13.504;19.51
7791337363007;Bolsa Yogurisimo Go x 3;10.697;15.28
