BARRAS;PRODUCTO;COSTO;PRECIO
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
7791340000000 ;;13.504;19.51
7791340000000 ;;10.697;15.28
